model,operating_point,threshold,precision,recall,f1,roc_auc,test_set_size,test_set_anomaly_rate
isolation_forest,f1_optimal,0.34114683240832205,0.28635346756152125,0.270042194092827,0.2779587404994571,0.8867210158624412,166026.0,0.005709949044125619
isolation_forest,precision_90_floor,0.9581757901973893,1.0,0.004219409282700422,0.008403361344537815,0.8867210158624412,166026.0,0.005709949044125619
lstm_autoencoder,f1_optimal,0.30088348764788014,0.5010893246187363,0.24261603375527427,0.3269367448471926,0.6871034255485311,166026.0,0.005709949044125619
lstm_autoencoder,precision_90_floor,0.6527725434552322,0.9022556390977443,0.12658227848101267,0.22201665124884365,0.6871034255485311,166026.0,0.005709949044125619
hybrid,f1_optimal,0.26837436430989253,0.3840782122905028,0.290084388185654,0.33052884615384615,0.874078386062019,166026.0,0.005709949044125619
hybrid,precision_90_floor,0.5734707177487577,0.9,0.13291139240506328,0.23161764705882354,0.874078386062019,166026.0,0.005709949044125619
isolation_forest_cv,4fold_cv_mean,,0.2676456358387542,0.27876812440078497,0.23432042348917856,0.8385222712957724,,
